file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
BlackFly10.R1.fastq.gz	FASTQ	DNA	4750474	717321574	151	151.0	151
BlackFly10.R2.fastq.gz	FASTQ	DNA	4750474	717321574	151	151.0	151
BlackFly11.R1.fastq.gz	FASTQ	DNA	5784552	873467352	151	151.0	151
BlackFly11.R2.fastq.gz	FASTQ	DNA	5784552	873467352	151	151.0	151
BlackFly12.R1.fastq.gz	FASTQ	DNA	8880328	1340929528	151	151.0	151
BlackFly12.R2.fastq.gz	FASTQ	DNA	8880328	1340929528	151	151.0	151
BlackFly13.R1.fastq.gz	FASTQ	DNA	5810869	877441219	151	151.0	151
BlackFly13.R2.fastq.gz	FASTQ	DNA	5810869	877441219	151	151.0	151
BlackFly14.R1.fastq.gz	FASTQ	DNA	6912870	1043843370	151	151.0	151
BlackFly14.R2.fastq.gz	FASTQ	DNA	6912870	1043843370	151	151.0	151
BlackFly15.R1.fastq.gz	FASTQ	DNA	6127075	925188325	151	151.0	151
BlackFly15.R2.fastq.gz	FASTQ	DNA	6127075	925188325	151	151.0	151
BlackFly16.R1.fastq.gz	FASTQ	DNA	11631386	1756339286	151	151.0	151
BlackFly16.R2.fastq.gz	FASTQ	DNA	11631386	1756339286	151	151.0	151
BlackFly17.R1.fastq.gz	FASTQ	DNA	4243934	640834034	151	151.0	151
BlackFly17.R2.fastq.gz	FASTQ	DNA	4243934	640834034	151	151.0	151
BlackFly18.R1.fastq.gz	FASTQ	DNA	5657773	854323723	151	151.0	151
BlackFly18.R2.fastq.gz	FASTQ	DNA	5657773	854323723	151	151.0	151
BlackFly19.R1.fastq.gz	FASTQ	DNA	8662638	1308058338	151	151.0	151
BlackFly19.R2.fastq.gz	FASTQ	DNA	8662638	1308058338	151	151.0	151
BlackFly20.R1.fastq.gz	FASTQ	DNA	10641395	1606850645	151	151.0	151
BlackFly20.R2.fastq.gz	FASTQ	DNA	10641395	1606850645	151	151.0	151
BlackFly21.R1.fastq.gz	FASTQ	DNA	5741358	866945058	151	151.0	151
BlackFly21.R2.fastq.gz	FASTQ	DNA	5741358	866945058	151	151.0	151
BlackFly22.R1.fastq.gz	FASTQ	DNA	3630525	548209275	151	151.0	151
BlackFly22.R2.fastq.gz	FASTQ	DNA	3630525	548209275	151	151.0	151
BlackFly23.R1.fastq.gz	FASTQ	DNA	9458639	1428254489	151	151.0	151
BlackFly23.R2.fastq.gz	FASTQ	DNA	9458639	1428254489	151	151.0	151
BlackFly24.R1.fastq.gz	FASTQ	DNA	4770110	720286610	151	151.0	151
BlackFly24.R2.fastq.gz	FASTQ	DNA	4770110	720286610	151	151.0	151
BlackFly25.R1.fastq.gz	FASTQ	DNA	6012030	907816530	151	151.0	151
BlackFly25.R2.fastq.gz	FASTQ	DNA	6012030	907816530	151	151.0	151
BlackFly26.R1.fastq.gz	FASTQ	DNA	4877470	736497970	151	151.0	151
BlackFly26.R2.fastq.gz	FASTQ	DNA	4877470	736497970	151	151.0	151
BlackFly27.R1.fastq.gz	FASTQ	DNA	9428930	1423768430	151	151.0	151
BlackFly27.R2.fastq.gz	FASTQ	DNA	9428930	1423768430	151	151.0	151
BlackFly28.R1.fastq.gz	FASTQ	DNA	8110003	1224610453	151	151.0	151
BlackFly28.R2.fastq.gz	FASTQ	DNA	8110003	1224610453	151	151.0	151
BlackFly29.R1.fastq.gz	FASTQ	DNA	9578270	1446318770	151	151.0	151
BlackFly29.R2.fastq.gz	FASTQ	DNA	9578270	1446318770	151	151.0	151
BlackFly30.R1.fastq.gz	FASTQ	DNA	10404357	1571057907	151	151.0	151
BlackFly30.R2.fastq.gz	FASTQ	DNA	10404357	1571057907	151	151.0	151
BlackFly31.R1.fastq.gz	FASTQ	DNA	10815486	1633138386	151	151.0	151
BlackFly31.R2.fastq.gz	FASTQ	DNA	10815486	1633138386	151	151.0	151
BlackFly32.R1.fastq.gz	FASTQ	DNA	7381996	1114681396	151	151.0	151
BlackFly32.R2.fastq.gz	FASTQ	DNA	7381996	1114681396	151	151.0	151
BlackFly33.R1.fastq.gz	FASTQ	DNA	3056935	461597185	151	151.0	151
BlackFly33.R2.fastq.gz	FASTQ	DNA	3056935	461597185	151	151.0	151
BlackFly34.R1.fastq.gz	FASTQ	DNA	12001116	1812168516	151	151.0	151
BlackFly34.R2.fastq.gz	FASTQ	DNA	12001116	1812168516	151	151.0	151
BlackFly35.R1.fastq.gz	FASTQ	DNA	8435846	1273812746	151	151.0	151
BlackFly35.R2.fastq.gz	FASTQ	DNA	8435846	1273812746	151	151.0	151
BlackFly36.R1.fastq.gz	FASTQ	DNA	7496018	1131898718	151	151.0	151
BlackFly36.R2.fastq.gz	FASTQ	DNA	7496018	1131898718	151	151.0	151
BlackFly37.R1.fastq.gz	FASTQ	DNA	3733814	563805914	151	151.0	151
BlackFly37.R2.fastq.gz	FASTQ	DNA	3733814	563805914	151	151.0	151
BlackFly38.R1.fastq.gz	FASTQ	DNA	5305416	801117816	151	151.0	151
BlackFly38.R2.fastq.gz	FASTQ	DNA	5305416	801117816	151	151.0	151
BlackFly39.R1.fastq.gz	FASTQ	DNA	6869787	1037337837	151	151.0	151
BlackFly39.R2.fastq.gz	FASTQ	DNA	6869787	1037337837	151	151.0	151
BlackFly3.R1.fastq.gz	FASTQ	DNA	7983529	1205512879	151	151.0	151
BlackFly3.R2.fastq.gz	FASTQ	DNA	7983529	1205512879	151	151.0	151
BlackFly40.R1.fastq.gz	FASTQ	DNA	4323043	652779493	151	151.0	151
BlackFly40.R2.fastq.gz	FASTQ	DNA	4323043	652779493	151	151.0	151
BlackFly41.R1.fastq.gz	FASTQ	DNA	5014898	757249598	151	151.0	151
BlackFly41.R2.fastq.gz	FASTQ	DNA	5014898	757249598	151	151.0	151
BlackFly42.R1.fastq.gz	FASTQ	DNA	7345915	1109233165	151	151.0	151
BlackFly42.R2.fastq.gz	FASTQ	DNA	7345915	1109233165	151	151.0	151
BlackFly43.R1.fastq.gz	FASTQ	DNA	7100131	1072119781	151	151.0	151
BlackFly43.R2.fastq.gz	FASTQ	DNA	7100131	1072119781	151	151.0	151
BlackFly44.R1.fastq.gz	FASTQ	DNA	6095136	920365536	151	151.0	151
BlackFly44.R2.fastq.gz	FASTQ	DNA	6095136	920365536	151	151.0	151
BlackFly45.R1.fastq.gz	FASTQ	DNA	6133362	926137662	151	151.0	151
BlackFly45.R2.fastq.gz	FASTQ	DNA	6133362	926137662	151	151.0	151
BlackFly46.R1.fastq.gz	FASTQ	DNA	5273191	796251841	151	151.0	151
BlackFly46.R2.fastq.gz	FASTQ	DNA	5273191	796251841	151	151.0	151
BlackFly47.R1.fastq.gz	FASTQ	DNA	4790411	723352061	151	151.0	151
BlackFly47.R2.fastq.gz	FASTQ	DNA	4790411	723352061	151	151.0	151
BlackFly48.R1.fastq.gz	FASTQ	DNA	5510682	832112982	151	151.0	151
BlackFly48.R2.fastq.gz	FASTQ	DNA	5510682	832112982	151	151.0	151
BlackFly49.R1.fastq.gz	FASTQ	DNA	4594600	693784600	151	151.0	151
BlackFly49.R2.fastq.gz	FASTQ	DNA	4594600	693784600	151	151.0	151
BlackFly4.R1.fastq.gz	FASTQ	DNA	5309369	801714719	151	151.0	151
BlackFly4.R2.fastq.gz	FASTQ	DNA	5309369	801714719	151	151.0	151
BlackFly50.R1.fastq.gz	FASTQ	DNA	6932158	1046755858	151	151.0	151
BlackFly50.R2.fastq.gz	FASTQ	DNA	6932158	1046755858	151	151.0	151
BlackFly51.R1.fastq.gz	FASTQ	DNA	4394088	663507288	151	151.0	151
BlackFly51.R2.fastq.gz	FASTQ	DNA	4394088	663507288	151	151.0	151
BlackFly52.R1.fastq.gz	FASTQ	DNA	6239791	942208441	151	151.0	151
BlackFly52.R2.fastq.gz	FASTQ	DNA	6239791	942208441	151	151.0	151
BlackFly53.R1.fastq.gz	FASTQ	DNA	8155024	1231408624	151	151.0	151
BlackFly53.R2.fastq.gz	FASTQ	DNA	8155024	1231408624	151	151.0	151
BlackFly55.R1.fastq.gz	FASTQ	DNA	4261224	643444824	151	151.0	151
BlackFly55.R2.fastq.gz	FASTQ	DNA	4261224	643444824	151	151.0	151
BlackFly57.R1.fastq.gz	FASTQ	DNA	4843522	731371822	151	151.0	151
BlackFly57.R2.fastq.gz	FASTQ	DNA	4843522	731371822	151	151.0	151
BlackFly58.R1.fastq.gz	FASTQ	DNA	4709380	711116380	151	151.0	151
BlackFly58.R2.fastq.gz	FASTQ	DNA	4709380	711116380	151	151.0	151
BlackFly59.R1.fastq.gz	FASTQ	DNA	3854715	582061965	151	151.0	151
BlackFly59.R2.fastq.gz	FASTQ	DNA	3854715	582061965	151	151.0	151
BlackFly5.R1.fastq.gz	FASTQ	DNA	8075160	1219349160	151	151.0	151
BlackFly5.R2.fastq.gz	FASTQ	DNA	8075160	1219349160	151	151.0	151
BlackFly6.R1.fastq.gz	FASTQ	DNA	6323576	954859976	151	151.0	151
BlackFly6.R2.fastq.gz	FASTQ	DNA	6323576	954859976	151	151.0	151
BlackFly7.R1.fastq.gz	FASTQ	DNA	4987567	753122617	151	151.0	151
BlackFly7.R2.fastq.gz	FASTQ	DNA	4987567	753122617	151	151.0	151
BlackFly8.R1.fastq.gz	FASTQ	DNA	4984556	752667956	151	151.0	151
BlackFly8.R2.fastq.gz	FASTQ	DNA	4984556	752667956	151	151.0	151
BlackFly9.R1.fastq.gz	FASTQ	DNA	6930550	1046513050	151	151.0	151
BlackFly9.R2.fastq.gz	FASTQ	DNA	6930550	1046513050	151	151.0	151
