Accession,Host,Host source
YP_009507948,Verticillium dahliae,fungi
YP_009259368,Sclerotinia nivalis,fungi
YP_009182332,Penicillium janczewskii,fungi
WMC21261,Rhizopus stolonifer,fungi
UVG55906,,
UYL95653,Haemaphysalis longicornis,invertebrates
QKK35389,Erysiphe necator,fungi
QJW70333,Erysiphe necator,fungi
QLC37098,Botrytis cinerea,fungi
QLC37100,Botrytis cinerea,fungi
QLC37106,Botrytis cinerea,fungi
QDH90571,,
QBA69889,Botrytis cinerea,fungi
AZT88647,Hortaea werneckii,fungi
APR62628,Saccharomyces cerevisiae,fungi
CBY84993,Tolypocladium cylindrosporum,fungi