Host	Category
Ploceus vitellinus	vertebrates
Alectorobius capensis	invertebrates
Amblyomma testudinarium	invertebrates
Argas reflexus	invertebrates
Sus scrofa	vertebrates
Homo sapiens	vertebrates
Somateria mollissima	vertebrates
Gobiomorphus cotidianus	vertebrates
Culex	invertebrates
Aedes albopictus	invertebrates
Apis mellifera	invertebrates
Insecta	invertebrates
Amblyomma dissimile	invertebrates
Bemisia tabaci	invertebrates
Bemisia tabaci	invertebrates
Culex tarsalis	invertebrates
Aedes albopictus	invertebrates
Ochlerotatus detritus	invertebrates
Culex modestus	invertebrates
Neohydatothrips variabilis	invertebrates
Neohydatothrips variabilis	invertebrates
Neohydatothrips variabilis	invertebrates
Neohydatothrips variabilis	invertebrates
Hermannia sp. (in: mites & ticks)	invertebrates
Hermannia gibba	invertebrates
Leptotrombidium pallidum	invertebrates
Eumantispa harmandi	invertebrates
Plea minutissima	invertebrates
Atractomorpha sp. (in: grasshoppers)	invertebrates
Puncha ratzeburgi	invertebrates
Peyerimhoffina gracilis	invertebrates
Glycaspis brimblecombei	invertebrates
Spilomena beata	invertebrates
Pelecinus polyturator	invertebrates
Tremex magus	invertebrates
Microhyla fissipes	vertebrates
Cephus spinipes	invertebrates
Xenophysella greensladeae	invertebrates
Ips typographus	invertebrates
Sitophilus zeamais	invertebrates
Acanthosoma haemorrhoidale	invertebrates
Peruphasma schultei	invertebrates
Glaresis	invertebrates
Cuterebra austeni	invertebrates
Dineutus	invertebrates
Spathomorpha lancettifer	invertebrates
Ips typographus	invertebrates
Trichocera saltator	invertebrates
Ceratophyllus gallinae	invertebrates
Anoplotrupes stercorosus	invertebrates
Cybister lateralimarginalis	invertebrates
Melittomma	invertebrates
Cryptocercus wrighti	invertebrates
Forficula auricularia	invertebrates
Nilaparvata lugens	invertebrates
Atelura formicaria	invertebrates
Amata phegea	invertebrates
Crambus	invertebrates
Acanthocasuarina muellerianae	invertebrates
Ixodes uriae	invertebrates
Ixodes uriae	invertebrates
Calliphora augur	invertebrates
Cyanocitta cristata	vertebrates
Boophilus	invertebrates
Aedes sp.	invertebrates
Aedes sp.	invertebrates
Aedes aegypti	invertebrates
Pygiopsylla	invertebrates
Culex quinquefasciatus	invertebrates
Bombus sp.	invertebrates
Ixodes holocyclus	invertebrates
Philander opossum	vertebrates
Rhipicephalus	invertebrates
Photinus pyralis	invertebrates
Photinus pyralis	invertebrates
Synodus macrops	vertebrates
Triacanthodes anomalus	vertebrates
Macrognathus aculeatus	vertebrates
Bufo gargarizans	vertebrates
Eptatretus burgeri	vertebrates
Carassius auratus	vertebrates
Carassius auratus	vertebrates
Nucella lapillus	marine
Aedes alboannulatus	invertebrates
Ochlerotatus dorsalis	invertebrates
Oncorhynchus mykiss	vertebrates
Culicidae	invertebrates
Oniscidea	invertebrates
Odonata	invertebrates
Diptera	invertebrates
Diptera	invertebrates
Myriapoda	invertebrates
Orthoptera	invertebrates
Homo sapiens	vertebrates
Atherigona orientalis	invertebrates
Tabanidae	invertebrates
Gerridae	invertebrates
Diptera	invertebrates
Hippoboscoidea	invertebrates
Hippoboscoidea	invertebrates
Culex tritaeniorhynchus	invertebrates
Culex tritaeniorhynchus	invertebrates
Culex quinquefasciatus	invertebrates
Anopheles sinensis	invertebrates
Psychoda alternata	invertebrates
Argas arboreus	invertebrates